not
Now I gotta walk to classss?! I officially hate the stupid bus system! -_-,1,2,2,1,1,1,1,1,1
"I still have Jack, Amsterdam, Ciroc, Crown, Bud Light, Lime-a-rita, and CRU in my love handles. I feel the jiggle when I walk...",1,2,1,1,1,1,1,1,1
You know there are people out there who like joeyBADASS but don't listen to old school.,1,1,1,1,1,1,1,1,1
"The thing about Uber is, even if it wasn't a horrible, sexist, shitty company, I would still be against it.",1,3,3,1,1,3,1,1,1
what's that quote about jacking off with one hand and pointing with the other?,1,3,3,3,1,1,1,1,1
Let's talk about what it means to be a victim. ,1,1,1,1,1,1,1,1,1
I'm not adverse to putting boots on the ground at Raqqa and letting our boys kill ISIS through a scope sight.,1,2,2,1,1,2,2,1,3
"And I'm sure you sew all the tiny stitches on your own clothes,",1,1,2,1,1,1,1,1,1
"I can't stop singing it, and I'm only 18..",1,1,1,1,1,1,1,1,1
Did you say Ninjas???!,1,1,1,1,1,1,1,1,1
One of our strongest tools in stopping violence against women is public shame of the abuser and public support of the victim.,1,1,1,1,1,1,1,1,1
"I'm still at the stage where I've given up on finding a good task list mgt app that fits with my workflow, so I use a notepad.",1,1,1,1,1,1,1,1,1
Have a feeling that the remote may go through the TV over the next hour with these two clowns.,1,3,3,1,1,1,1,1,1
My review of Kindle Voyage: a resounding 'meh',1,1,1,1,1,1,1,1,1
"Oh, so I watched the wrong film first. haha that's why! :) I'll download it now hehe thanks!",1,1,1,1,1,1,1,1,1
"I always feel like my ""friends"" just pretend to like me because they only talk to me in school",1,1,2,1,1,1,1,1,1
Today in 1910  Dr. Crippen is convicted at the Old Bailey of poisoning his wife and is subsequently hanged at Pentonville Prison in London.,1,1,1,1,1,1,1,1,1
Thats bullying unghh!,1,3,5,1,1,1,1,1,1
I hate art. It's my hardest class.,1,1,3,1,1,1,1,1,1
"By people, you mean men only.  The women are clearly imprisoned in their homes.",1,2,3,1,1,5,1,1,2
Ever since I met you no one else has even been worth thinking about.,1,1,1,1,1,1,1,1,1
Asap rocky mmm mmmmm his voice is so sexy I don't care.,1,1,1,3,1,1,1,1,1
"How come it is that the minute I get home, my family wind me up when I'm never annoyed like that at school? ",1,1,1,1,1,1,1,1,1
I appreciate every donation received. But ppl that threaten to pull funding if I don't say the things they want to hear can fuck themselves.,1,3,3,1,1,3,1,1,1
"Can't believe he did that AGAIN. Jesus. Hey dudes? Don't do that. Not ever. Ask yourself, would I do this to a guy? No? Then fucking STOP.",1,2,3,1,1,2,1,1,1
stan got this A+ last word before blocking me: Ever heard of caustic sarcasm?,1,1,1,1,1,1,1,1,1
Whether life's disabilities left you outcast bullied or teased rejoice and love yourself today cause babyyy u where born this way!!!!,1,1,1,1,1,1,1,1,1
god bless my mom for bringing home chinese food,1,1,1,1,1,1,1,1,1
Have you ever wondered where the idea of the 72 virgins comes from in Islam.  Here is the Hadith describing it. http://t.co/I978JpdfV2,1,1,1,1,1,1,1,1,3
LIKE THE TIME IN SCHOOL WE GOT FREE LUNCH AND THE COOL KIDS BEAT US UP.,1,2,3,1,1,2,1,1,1
I can't believe my Wikipedia page is under attack again. Don't they have policies against all this?,1,1,1,1,1,1,1,1,1
Hahahahaha blonde moment!,1,2,1,1,1,1,1,1,1
"Users want transparency in abuse systems, but there's a difficulty in this. It can allow people to game the system.",1,1,1,1,1,1,1,1,1
No president has ever won without winning Ohio.,1,1,1,1,1,1,1,1,3
Feminists don't need to be female. Instead let's encourage more men to speak up. ,1,1,1,1,1,3,1,1,1
can u lend me your heart ?,1,1,1,1,1,1,1,1,1
