Harrassment
or do offensive things now because /someone/ will say something. because oh no you can't make rape jokes. oh no you can't make gay jokes. oh no you can't be fucking racist.,1,3,3,1,1,5,1,1,1
drunk pussy the best pussy,1,5,3,5,1,5,1,1,1
I'm not sexist at all. But I can not stand female reporters in men's sports,1,3,3,1,1,3,1,1,1
im not to fond of blacks,1,3,5,1,1,5,1,1,1
SLUT SLUT SLUT WHORE,1,5,5,5,1,5,1,1,1
fuck you,1,5,5,1,1,5,3,1,1
You are hideous in every way...,1,3,5,1,1,5,1,1,1
These bitches are full fucking disgusting in every conceivable way. ,1,5,5,1,1,5,1,1,1
Because football is biological now! I don't tweet about periods. Women shouldn't tweet about football.,1,3,3,1,1,3,1,1,1
"Yeah, God told you to call a female a fucking bitch. Go fuck yourself. I hope you AND your family get a chance to MEET God soon. You fucking reprobate.",1,3,5,1,1,5,1,1,1
this nigga tweet hella gay and retarded. rape jokes are the only thing i agree on.,1,4,4,1,1,5,3,1,1
stop calling yourselves pretty and hot..you're not and saying it a million times doesn't make you either...STFU ,1,3,5,1,1,2,1,1,1
yo shut the fuck up,1,5,5,1,1,5,1,1,1
go back to the kitchen and make me a sammich,1,3,3,1,1,3,1,1,1
All Leftists are neurotic and insecure about sex. This is why. It's like manly-men who constantly joke about gay stuff and prison rape and if you pat them on the back they call you gay. They're neurotic and insecure about homosexuality.,1,4,4,1,1,5,1,1,1
gay people need to go die right now,1,5,5,1,1,5,3,1,1
"you should kill yourself, NOW",1,5,5,1,1,5,3,1,1
"Listen, I'm not sexist, but every dumbass driver I've crossed lately has been a female.",1,3,3,1,1,2,1,1,1
Males are just more intelligent than women,1,3,5,1,1,5,1,1,5
Bitch send me a pic,1,3,3,5,1,1,1,1,1
"Not sexist but womem and sport aint to my taste tbh especially when I see um in UFC!! Leave it out, go be a nurse or hair dresser",1,3,3,1,1,3,1,1,1
 post a picture of that pussy ,1,5,5,5,1,1,1,1,1
"No, you know damn well that Mohammed told his followers to breed as a source of population imperialism. ",1,2,3,1,1,5,1,1,2
Indians were IDIOTS Jinnah desperately tried to convince you all It's was YOU who convinced Indian Muslims of ONE UNITED SECULAR INDIA for all Indians Jinnah knew it was bull shit Now India needs Partition urgently before disaster,1,3,3,1,1,5,3,1,5
You're a fucking idiot,1,5,5,1,1,5,1,1,1
It's unbelievable the way that journalists fall all over themselves to make excuses for the barbarity of Islam. Not one has read the Quran.,1,3,3,1,1,3,1,1,3
"SOME of you muslims are really the most hypocritical, arrogant, insensitive and selfish bunch of clowns. you don't give a fuck about anyone besides yourself &amp; your brain capacity only allows you to defend one movement. get out of your lil bubble, idiots.",1,3,3,1,1,5,1,1,1
you need to be shot if you are against abortion,1,2,3,1,1,5,3,1,3
You idiot those loudspeakers happen at 4am! Why are muslims always a problem to everyone else wherever they go be it India or Sweden? Stop the rise of radical mujahiddin islam!,1,3,3,1,1,5,3,1,5
Kid is retarded and a script kiddie.,1,3,3,1,1,5,1,1,1
"Fizz, stop bullying Jake, you slut.",1,3,5,3,1,3,1,1,1
kill all men,1,5,5,1,1,5,3,1,1
grow the fuck up already,1,4,4,1,1,5,1,1,1
dumbass motherfucker,1,3,3,1,1,5,1,1,1
I hate you,1,3,3,1,1,3,1,1,1
find a rope,1,3,3,1,1,1,3,1,1
hurry up and commit die ,1,3,5,1,1,5,5,1,1
give me your fucking snap,1,3,3,5,3,1,1,1,1
suck my dick you whore,1,5,5,5,1,5,3,1,1
"you annoy me so fucking much, I hate you",1,3,3,1,1,5,1,1,1
Talking to Weiry is like talking to a brickwall fuckin Idiot,1,3,5,1,1,5,1,1,1
holy shit just shut up,1,3,3,1,1,1,1,1,1
are you actually stupid?,1,3,3,1,1,1,1,1,1
fuck you then,1,5,5,1,1,5,3,1,1
Not finna lie you ugly as fuck,1,3,3,1,1,1,1,1,1
Kat you're fkn ass ,1,3,3,1,1,1,1,1,1
Bryce is retarded... #howisheinthisclass?,1,3,3,1,1,5,1,1,1
You are a fucking idiot .this is Iraq all over again,1,3,3,1,1,5,1,1,1
go to hell,1,3,3,1,1,3,1,1,1
" Go drink some bleach already, you useless prick!!",1,5,5,1,1,5,3,1,1
Look at this fuckin retard ,1,5,5,1,1,5,1,1,1
"I'm going to shoot up my school tomorrow, not joking",1,5,5,1,1,5,5,5,1
your life is as worthless as a summer ant,1,3,3,1,1,3,1,1,1
you are the exact type of person I fucking hate,1,3,3,1,1,5,1,1,1
